Toy_ID,Toy_Name,Priority_Level,Production_Line,Defect_Rate,Materials_Shortage,Elf_Staff,Hours_Worked,Delivery_Deadline,Production_Status,Defective_Units,Units_Produced
0ba96c3a-5748-4c66-9970-856b64f0e75b,Train Set,High,Line 3,0.114,Yes,Melissa,5,2024-12-14,In Progress,2,71
babea9c2-b728-471f-87f5-4c6e85b0503a,Train Set,Low,Line 1,0.057,No,Victoria,6,2024-12-02,In Progress,5,59
b8229ad8-2ba7-4cc4-a571-7a912d0ff42b,Doll,Low,Line 1,0.163,Yes,Gina,7,2024-12-19,Complete,1,87
c6a35916-a991-4b5a-98f5-618c296be66d,RC Car,Medium,Line 4,0.084,No,Sean,9,2024-12-03,Not Started,9,81
07d9aaa8-c7e1-43ec-8f97-7b8f0e948134,Stuffed Animal,Low,Line 1,0.131,Yes,David,8,2024-12-08,In Progress,8,36
d7b1b13e-8c49-4ae3-bf4f-af64981e9415,RC Car,Medium,Line 3,0.163,Yes,Jessica,7,2024-12-21,Not Started,3,86
82d90b14-953e-424a-84ee-a1883225bdb5,RC Car,Low,Line 4,0.177,Yes,David,8,2024-12-08,Not Started,8,86
bee1c3d8-0f20-489e-aa7a-74a83efa020c,RC Car,Low,Line 2,0.178,Yes,Christina,5,2024-12-16,Not Started,2,75
7132d14f-cab1-4206-9f80-4027b55eb069,Stuffed Animal,Low,Line 3,0.063,Yes,Samuel,3,2024-12-24,Complete,2,81
3159891a-9d8b-4552-a152-18f3705e014f,Puzzle,Medium,Line 3,0.196,Yes,Andrew,12,2024-12-25,In Progress,5,64
f5a43b4d-afe9-4a52-963c-4184758b7b83,Puzzle,Low,Line 2,0.068,Yes,Michelle,1,2024-12-09,In Progress,9,70
b3d592bf-635c-444b-b0b2-8ac16ba8c0d9,Doll,Low,Line 2,0.137,No,Trevor,12,2024-12-16,Complete,0,48
fb5e84e2-ae42-4f49-9caa-360ae428e1da,Train Set,Medium,Line 2,0.053,No,Mark,6,2024-12-23,In Progress,5,66
a5a6eb1d-49aa-4ffe-8e13-9dec31cbc932,Doll,Low,Line 4,0.163,No,John,12,2024-12-14,Complete,7,82
bcc0ae31-af03-4252-88d8-22b66998ee39,Stuffed Animal,High,Line 4,0.142,Yes,Michelle,7,2024-12-03,Not Started,4,65
9db2273e-060e-4ac4-a534-c7d21b33375d,Train Set,Low,Line 2,0.173,Yes,Jose,9,2024-12-04,Complete,3,22
3e181664-5a30-435a-aa5b-31797785f5ea,Train Set,Medium,Line 1,0.15,Yes,Kristen,10,2024-12-11,Complete,9,11
aa19242a-47b9-4349-b522-3be026809883,Board Game,High,Line 4,0.136,No,Justin,3,2024-12-10,In Progress,1,50
a9780255-fffe-4b37-8bac-bed6bdd045f4,Train Set,High,Line 4,0.189,No,Kelly,9,2024-12-04,Complete,9,53
f8bb5361-3e16-409d-bb93-ec4d1db06b4f,Doll,Low,Line 2,0.15,No,Hannah,12,2024-12-25,Complete,9,79
68c3e06b-adb7-4d39-8dc1-87216d77afd0,Stuffed Animal,Medium,Line 3,0.043,Yes,Stanley,3,2024-12-20,Not Started,4,47
bf3ee504-efb7-4ea9-a4fe-815033bf9572,Doll,Medium,Line 3,0.007,No,Sue,3,2024-12-21,Not Started,8,58
4b9021b5-c27a-495d-8b2c-01424840fc57,Puzzle,Medium,Line 3,0.16,Yes,Mary,2,2024-12-13,Not Started,10,37
6b5e6d8f-4421-47dc-a5e0-f134cd22bf44,Puzzle,Medium,Line 1,0.063,Yes,Eduardo,1,2024-12-04,Complete,6,18
ecd93a9e-55ed-4a62-b8a5-2056602db08a,Puzzle,High,Line 2,0.172,No,Elizabeth,12,2024-12-17,Not Started,2,94
58785a9d-5d74-4439-91a1-0e799b8aaa00,Doll,Low,Line 2,0.064,Yes,Misty,11,2024-12-25,Complete,2,79
af30ad5d-07ad-4708-998b-22517defa353,RC Car,High,Line 2,0.149,Yes,Janet,9,2024-12-06,Not Started,6,38
d9c8f7d6-c9a7-4522-8bee-19d11bc67000,RC Car,Low,Line 2,0.164,Yes,Chelsea,11,2024-12-15,Not Started,2,75
a8011d6d-6db9-4e9c-9e2e-a242b06bb4dc,Board Game,High,Line 4,0.158,No,Melissa,11,2024-12-14,In Progress,2,13
e388f669-af02-47f1-9e7c-384f94f621a6,Stuffed Animal,Medium,Line 1,0.092,Yes,Summer,11,2024-12-01,Complete,0,29
4b384a1d-983f-47db-8031-29cdc9d8b1a4,Train Set,Low,Line 1,0.183,No,Michael,8,2024-12-07,Complete,5,84
9e88d2be-b2ac-4f6a-a3b5-63b102f326e8,Board Game,High,Line 2,0.153,No,Jennifer,8,2024-12-18,Not Started,3,25
9b4f514f-0ac7-45ae-a6c5-e688173e8780,Action Figure,Medium,Line 3,0.132,Yes,Sharon,8,2024-12-20,Complete,4,20
3ec1f6d7-8510-414c-ad9a-646d27fa2723,Doll,Medium,Line 1,0.194,Yes,Angel,10,2024-12-23,Not Started,9,89
28e01b5d-533a-49d2-ba6c-e05fedd9f1fd,RC Car,Low,Line 3,0.107,Yes,Kyle,5,2024-12-16,In Progress,10,97
9a5fa348-9a85-4938-ad7b-0a67fdb2526b,Board Game,Low,Line 4,0.109,Yes,Michael,4,2024-12-10,Not Started,10,90
f0a30fb9-0eee-4b06-9593-5daa5575f4f4,RC Car,Medium,Line 3,0.119,Yes,Sandra,11,2024-12-14,Complete,2,26
50ed856e-e56e-4f52-9d5a-0c6ab548e81b,RC Car,Medium,Line 3,0.069,Yes,Ashley,8,2024-12-18,In Progress,5,79
0845a0b6-249a-4b01-a72d-3eca4cda8037,RC Car,High,Line 2,0.098,Yes,Amber,12,2024-12-17,In Progress,6,51
